,ID State,State,ID Year,Year,Population,Slug State,Region
264,04000US06,California,2015,2015,38421464,california,West
265,04000US08,Colorado,2015,2015,5278906,colorado,West
266,04000US09,Connecticut,2015,2015,3593222,connecticut,NewEngland
267,04000US10,Delaware,2015,2015,926454,delaware,MiddleAtlantic
268,04000US11,District of Columbia,2015,2015,647484,district-of-columbia,Other
269,04000US12,Florida,2015,2015,19645772,florida,South
270,04000US13,Georgia,2015,2015,10006693,georgia,South
271,04000US15,Hawaii,2015,2015,1406299,hawaii,West
272,04000US16,Idaho,2015,2015,1616547,idaho,West
273,04000US17,Illinois,2015,2015,12873761,illinois,Midwest
274,04000US18,Indiana,2015,2015,6568645,indiana,Midwest
275,04000US19,Iowa,2015,2015,3093526,iowa,Midwest
276,04000US20,Kansas,2015,2015,2892987,kansas,Midwest
277,04000US21,Kentucky,2015,2015,4397353,kentucky,South
278,04000US22,Louisiana,2015,2015,4625253,louisiana,South
279,04000US23,Maine,2015,2015,1329100,maine,NewEngland
280,04000US24,Maryland,2015,2015,5930538,maryland,MiddleAtlantic
281,04000US25,Massachusetts,2015,2015,6705586,massachusetts,NewEngland
282,04000US26,Michigan,2015,2015,9900571,michigan,Midwest
283,04000US27,Minnesota,2015,2015,5419171,minnesota,Midwest
284,04000US28,Mississippi,2015,2015,2988081,mississippi,South
285,04000US29,Missouri,2015,2015,6045448,missouri,South
286,04000US30,Montana,2015,2015,1014699,montana,West
287,04000US31,Nebraska,2015,2015,1869365,nebraska,Midwest
288,04000US32,Nevada,2015,2015,2798636,nevada,West
289,04000US33,New Hampshire,2015,2015,1324201,new-hampshire,NewEngland
290,04000US34,New Jersey,2015,2015,8904413,new-jersey,MiddleAtlantic
291,04000US35,New Mexico,2015,2015,2084117,new-mexico,Southwest
292,04000US36,New York,2015,2015,19673174,new-york,MiddleAtlantic
293,04000US37,North Carolina,2015,2015,9845333,north-carolina,South
294,04000US38,North Dakota,2015,2015,721640,north-dakota,Midwest
295,04000US39,Ohio,2015,2015,11575977,ohio,Midwest
296,04000US40,Oklahoma,2015,2015,3849733,oklahoma,Southwest
297,04000US41,Oregon,2015,2015,3939233,oregon,West
298,04000US42,Pennsylvania,2015,2015,12779559,pennsylvania,MiddleAtlantic
299,04000US44,Rhode Island,2015,2015,1053661,rhode-island,NewEngland
300,04000US45,South Carolina,2015,2015,4777576,south-carolina,South
301,04000US46,South Dakota,2015,2015,843190,south-dakota,Midwest
302,04000US47,Tennessee,2015,2015,6499615,tennessee,South
303,04000US48,Texas,2015,2015,26538614,texas,Southwest
304,04000US49,Utah,2015,2015,2903379,utah,West
305,04000US50,Vermont,2015,2015,626604,vermont,NewEngland
306,04000US51,Virginia,2015,2015,8256630,virginia,South
307,04000US53,Washington,2015,2015,6985464,washington,West
308,04000US54,West Virginia,2015,2015,1851420,west-virginia,South
309,04000US55,Wisconsin,2015,2015,5742117,wisconsin,Midwest
310,04000US56,Wyoming,2015,2015,579679,wyoming,West
311,04000US72,Puerto Rico,2015,2015,3583073,puerto-rico,Other
312,04000US01,Alabama,2014,2014,4817678,alabama,South
313,04000US02,Alaska,2014,2014,728300,alaska,West
314,04000US04,Arizona,2014,2014,6561516,arizona,Southwest
315,04000US05,Arkansas,2014,2014,2947036,arkansas,South
316,04000US06,California,2014,2014,38066920,california,West
317,04000US08,Colorado,2014,2014,5197580,colorado,West
318,04000US09,Connecticut,2014,2014,3592053,connecticut,NewEngland
319,04000US10,Delaware,2014,2014,917060,delaware,MiddleAtlantic
320,04000US11,District of Columbia,2014,2014,633736,district-of-columbia,Other
321,04000US12,Florida,2014,2014,19361792,florida,South
322,04000US13,Georgia,2014,2014,9907756,georgia,South
323,04000US15,Hawaii,2014,2014,1392704,hawaii,West
324,04000US16,Idaho,2014,2014,1599464,idaho,West
325,04000US17,Illinois,2014,2014,12868747,illinois,Midwest
326,04000US18,Indiana,2014,2014,6542411,indiana,Midwest
327,04000US19,Iowa,2014,2014,3078116,iowa,Midwest
328,04000US20,Kansas,2014,2014,2882946,kansas,Midwest
329,04000US21,Kentucky,2014,2014,4383272,kentucky,South
330,04000US22,Louisiana,2014,2014,4601049,louisiana,South
331,04000US23,Maine,2014,2014,1328535,maine,NewEngland
332,04000US24,Maryland,2014,2014,5887776,maryland,MiddleAtlantic
333,04000US25,Massachusetts,2014,2014,6657291,massachusetts,NewEngland
334,04000US26,Michigan,2014,2014,9889024,michigan,Midwest
335,04000US27,Minnesota,2014,2014,5383661,minnesota,Midwest
336,04000US28,Mississippi,2014,2014,2984345,mississippi,South
337,04000US29,Missouri,2014,2014,6028076,missouri,South
338,04000US30,Montana,2014,2014,1006370,montana,West
339,04000US31,Nebraska,2014,2014,1855617,nebraska,Midwest
340,04000US32,Nevada,2014,2014,2761584,nevada,West
341,04000US33,New Hampshire,2014,2014,1321069,new-hampshire,NewEngland
342,04000US34,New Jersey,2014,2014,8874374,new-jersey,MiddleAtlantic
343,04000US35,New Mexico,2014,2014,2080085,new-mexico,Southwest
344,04000US36,New York,2014,2014,19594330,new-york,MiddleAtlantic
345,04000US37,North Carolina,2014,2014,9750405,north-carolina,South
346,04000US38,North Dakota,2014,2014,704925,north-dakota,Midwest
347,04000US39,Ohio,2014,2014,11560380,ohio,Midwest
348,04000US40,Oklahoma,2014,2014,3818851,oklahoma,Southwest
349,04000US41,Oregon,2014,2014,3900343,oregon,West
350,04000US42,Pennsylvania,2014,2014,12758729,pennsylvania,MiddleAtlantic
351,04000US44,Rhode Island,2014,2014,1053252,rhode-island,NewEngland
